"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","286","Login with correct email and password","tests.authentication","2026-06-15","passed","2026-06-15","TestAuthentication","test_authentication","",""
"","20","Create file with empty filename","tests.files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","294","Create exercise","tests.exercises","2026-06-15","passed","2026-06-15","TestExercises","test_exercises","",""
"","577","Create file","tests.files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","19","Get file with incorrect file id","tests.files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","533","Create user","LMS service","2026-06-15","passed","2026-06-15","Create entity","Users","",""
"","14","Get user me","LMS service","2026-06-15","passed","2026-06-15","Get entity","Users","",""
"","23","Update exercise","tests.exercises","2026-06-15","passed","2026-06-15","TestExercises","test_exercises","",""
"","20","Get exercises","tests.exercises","2026-06-15","passed","2026-06-15","TestExercises","test_exercises","",""
"","35","Create course","tests.courses","2026-06-15","passed","2026-06-15","TestCourses","test_courses","",""
"","27","Get courses","tests.courses","2026-06-15","passed","2026-06-15","TestCourses","test_courses","",""
"","289","Create user","LMS service","2026-06-15","passed","2026-06-15","Create entity","Users","",""
"","20","Get exercise by id","tests.exercises","2026-06-15","passed","2026-06-15","TestExercises","test_exercises","",""
"","268","Create file with empty directory","tests.files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","22","Delete file","tests.files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","17","Get file","tests.files","2026-06-15","passed","2026-06-15","TestFiles","test_files","",""
"","540","Create user","LMS service","2026-06-15","passed","2026-06-15","Create entity","Users","",""
"","304","Update course","tests.courses","2026-06-15","passed","2026-06-15","TestCourses","test_courses","",""
"","294","Delete exercise","tests.exercises","2026-06-15","passed","2026-06-15","TestExercises","test_exercises","",""
