"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61","Create file","tests.files","2026-06-10","passed","2026-06-10","TestFiles","test_files","",""
"","271","Get file with incorrect file id","tests.files","2026-06-10","passed","2026-06-10","TestFiles","test_files","",""
"","554","Login with correct email and password","tests.authentication","2026-06-10","passed","2026-06-10","TestAuthentication","test_authentication","",""
"","14","Get file","tests.files","2026-06-10","passed","2026-06-10","TestFiles","test_files","",""
"","547","Create user","LMS service","2026-06-10","passed","2026-06-10","Create entity","Users","",""
"","272","Create file with empty filename","tests.files","2026-06-10","passed","2026-06-10","TestFiles","test_files","",""
"","35","Get courses","tests.courses","2026-06-10","passed","2026-06-10","TestCourses","test_courses","",""
"","557","Create user","LMS service","2026-06-10","passed","2026-06-10","Create entity","Users","",""
"","20","Create file with empty directory","tests.files","2026-06-10","passed","2026-06-10","TestFiles","test_files","",""
"","21","Delete exercise","tests.exercises","2026-06-10","passed","2026-06-10","TestExercises","test_exercises","",""
"","12","Get user me","LMS service","2026-06-10","passed","2026-06-10","Get entity","Users","",""
"","535","Create user","LMS service","2026-06-10","passed","2026-06-10","Create entity","Users","",""
"","35","Update course","tests.courses","2026-06-10","passed","2026-06-10","TestCourses","test_courses","",""
"","19","Get exercises","tests.exercises","2026-06-10","passed","2026-06-10","TestExercises","test_exercises","",""
"","21","Delete file","tests.files","2026-06-10","passed","2026-06-10","TestFiles","test_files","",""
"","31","Create exercise","tests.exercises","2026-06-10","passed","2026-06-10","TestExercises","test_exercises","",""
"","17","Get exercise by id","tests.exercises","2026-06-10","passed","2026-06-10","TestExercises","test_exercises","",""
"","38","Create course","tests.courses","2026-06-10","passed","2026-06-10","TestCourses","test_courses","",""
"","22","Update exercise","tests.exercises","2026-06-10","passed","2026-06-10","TestExercises","test_exercises","",""
