"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60","Create file","tests.files","2026-06-22","passed","2026-06-22","TestFiles","test_files","",""
"","40","Get courses","tests.courses","2026-06-22","passed","2026-06-22","TestCourses","test_courses","",""
"","17","Create file with empty directory","tests.files","2026-06-22","passed","2026-06-22","TestFiles","test_files","",""
"","529","Create user","LMS service","2026-06-22","passed","2026-06-22","Create entity","Users","",""
"","560","Create user","LMS service","2026-06-22","passed","2026-06-22","Create entity","Users","",""
"","22","Get exercises","tests.exercises","2026-06-22","passed","2026-06-22","TestExercises","test_exercises","",""
"","37","Update course","tests.courses","2026-06-22","passed","2026-06-22","TestCourses","test_courses","",""
"","20","Delete exercise","tests.exercises","2026-06-22","passed","2026-06-22","TestExercises","test_exercises","",""
"","17","Get file","tests.files","2026-06-22","passed","2026-06-22","TestFiles","test_files","",""
"","21","Update exercise","tests.exercises","2026-06-22","passed","2026-06-22","TestExercises","test_exercises","",""
"","36","Create exercise","tests.exercises","2026-06-22","passed","2026-06-22","TestExercises","test_exercises","",""
"","15","Get user me","LMS service","2026-06-22","passed","2026-06-22","Get entity","Users","",""
"","21","Get exercise by id","tests.exercises","2026-06-22","passed","2026-06-22","TestExercises","test_exercises","",""
"","270","Get file with incorrect file id","tests.files","2026-06-22","passed","2026-06-22","TestFiles","test_files","",""
"","34","Create course","tests.courses","2026-06-22","passed","2026-06-22","TestCourses","test_courses","",""
"","271","Create file with empty filename","tests.files","2026-06-22","passed","2026-06-22","TestFiles","test_files","",""
"","538","Create user","LMS service","2026-06-22","passed","2026-06-22","Create entity","Users","",""
"","554","Login with correct email and password","tests.authentication","2026-06-22","passed","2026-06-22","TestAuthentication","test_authentication","",""
"","27","Delete file","tests.files","2026-06-22","passed","2026-06-22","TestFiles","test_files","",""
