"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","236","Create course","tests.courses","2026-06-17","passed","2026-06-17","TestCourses","test_courses","",""
"","10","Get user me","LMS service","2026-06-17","passed","2026-06-17","Get entity","Users","",""
"","399","Create user","LMS service","2026-06-17","passed","2026-06-17","Create entity","Users","",""
"","13","Delete exercise","tests.exercises","2026-06-17","passed","2026-06-17","TestExercises","test_exercises","",""
"","14","Get courses","tests.courses","2026-06-17","passed","2026-06-17","TestCourses","test_courses","",""
"","12","Get exercises","tests.exercises","2026-06-17","passed","2026-06-17","TestExercises","test_exercises","",""
"","8","Get exercise by id","tests.exercises","2026-06-17","passed","2026-06-17","TestExercises","test_exercises","",""
"","415","Create user","LMS service","2026-06-17","passed","2026-06-17","Create entity","Users","",""
"","13","Create file with empty filename","tests.files","2026-06-17","passed","2026-06-17","TestFiles","test_files","",""
"","16","Create exercise","tests.exercises","2026-06-17","passed","2026-06-17","TestExercises","test_exercises","",""
"","511","Create user","LMS service","2026-06-17","passed","2026-06-17","Create entity","Users","",""
"","192","Get file with incorrect file id","tests.files","2026-06-17","passed","2026-06-17","TestFiles","test_files","",""
"","9","Get file","tests.files","2026-06-17","passed","2026-06-17","TestFiles","test_files","",""
"","17","Delete file","tests.files","2026-06-17","passed","2026-06-17","TestFiles","test_files","",""
"","391","Login with correct email and password","tests.authentication","2026-06-17","passed","2026-06-17","TestAuthentication","test_authentication","",""
"","89","Create file","tests.files","2026-06-17","passed","2026-06-17","TestFiles","test_files","",""
"","13","Create file with empty directory","tests.files","2026-06-17","passed","2026-06-17","TestFiles","test_files","",""
"","10","Update exercise","tests.exercises","2026-06-17","passed","2026-06-17","TestExercises","test_exercises","",""
"","18","Update course","tests.courses","2026-06-17","passed","2026-06-17","TestCourses","test_courses","",""
