"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","Create course","tests.courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","24","Update exercise","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","20","Get exercise by id","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","16","Get file","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","17","Create file with empty directory","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","14","Get user me","LMS service","2026-06-16","passed","2026-06-16","Get entity","Users","",""
"","22","Get exercises","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","33","Get courses","tests.courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","31","Create exercise","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","558","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","553","Login with correct email and password","tests.authentication","2026-06-16","passed","2026-06-16","TestAuthentication","test_authentication","",""
"","270","Get file with incorrect file id","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","271","Create file with empty filename","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","529","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","22","Delete file","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","59","Create file","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","37","Update course","tests.courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","19","Delete exercise","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","536","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
