"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","Login with correct email and password","tests.authentication","2026-06-10","passed","2026-06-10","TestAuthentication","test_authentication","",""
"","13","Get user me","LMS service","2026-06-10","passed","2026-06-10","Get entity","Users","",""
"","295","Create exercise","tests.exercises","2026-06-10","passed","2026-06-10","TestExercises","test_exercises","",""
"","15","Get file","tests.files","2026-06-10","passed","2026-06-10","TestFiles","test_files","",""
"","266","Get file with incorrect file id","tests.files","2026-06-10","passed","2026-06-10","TestFiles","test_files","",""
"","20","Create file with empty directory","tests.files","2026-06-10","passed","2026-06-10","TestFiles","test_files","",""
"","26","Update exercise","tests.exercises","2026-06-10","passed","2026-06-10","TestExercises","test_exercises","",""
"","531","Create user","LMS service","2026-06-10","passed","2026-06-10","Create entity","Users","",""
"","306","Get courses","tests.courses","2026-06-10","passed","2026-06-10","TestCourses","test_courses","",""
"","559","Create user","LMS service","2026-06-10","passed","2026-06-10","Create entity","Users","",""
"","269","Create file with empty filename","tests.files","2026-06-10","passed","2026-06-10","TestFiles","test_files","",""
"","18","Get exercise by id","tests.exercises","2026-06-10","passed","2026-06-10","TestExercises","test_exercises","",""
"","23","Delete exercise","tests.exercises","2026-06-10","passed","2026-06-10","TestExercises","test_exercises","",""
"","65","Create file","tests.files","2026-06-10","passed","2026-06-10","TestFiles","test_files","",""
"","310","Update course","tests.courses","2026-06-10","passed","2026-06-10","TestCourses","test_courses","",""
"","25","Delete file","tests.files","2026-06-10","passed","2026-06-10","TestFiles","test_files","",""
"","535","Create user","LMS service","2026-06-10","passed","2026-06-10","Create entity","Users","",""
"","42","Create course","tests.courses","2026-06-10","passed","2026-06-10","TestCourses","test_courses","",""
"","24","Get exercises","tests.exercises","2026-06-10","passed","2026-06-10","TestExercises","test_exercises","",""
