"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get file with incorrect file id","tests.files","2026-06-17","passed","2026-06-17","TestFiles","test_files","",""
"","322","Create user","LMS service","2026-06-17","passed","2026-06-17","Create entity","Users","",""
"","14","Get file","tests.files","2026-06-17","passed","2026-06-17","TestFiles","test_files","",""
"","612","Create user","LMS service","2026-06-17","passed","2026-06-17","Create entity","Users","",""
"","32","Get courses","tests.courses","2026-06-17","passed","2026-06-17","TestCourses","test_courses","",""
"","20","Update exercise","tests.exercises","2026-06-17","passed","2026-06-17","TestExercises","test_exercises","",""
"","20","Create exercise","tests.exercises","2026-06-17","passed","2026-06-17","TestExercises","test_exercises","",""
"","28","Update course","tests.courses","2026-06-17","passed","2026-06-17","TestCourses","test_courses","",""
"","311","Create file with empty directory","tests.files","2026-06-17","passed","2026-06-17","TestFiles","test_files","",""
"","21","Delete file","tests.files","2026-06-17","passed","2026-06-17","TestFiles","test_files","",""
"","32","Create course","tests.courses","2026-06-17","passed","2026-06-17","TestCourses","test_courses","",""
"","15","Create file with empty filename","tests.files","2026-06-17","passed","2026-06-17","TestFiles","test_files","",""
"","24","Get exercises","tests.exercises","2026-06-17","passed","2026-06-17","TestExercises","test_exercises","",""
"","21","Get exercise by id","tests.exercises","2026-06-17","passed","2026-06-17","TestExercises","test_exercises","",""
"","15","Get user me","LMS service","2026-06-17","passed","2026-06-17","Get entity","Users","",""
"","596","Create user","LMS service","2026-06-17","passed","2026-06-17","Create entity","Users","",""
"","330","Create file","tests.files","2026-06-17","passed","2026-06-17","TestFiles","test_files","",""
"","22","Delete exercise","tests.exercises","2026-06-17","passed","2026-06-17","TestExercises","test_exercises","",""
