"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Update course","tests.courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","558","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","553","Login with correct email and password","tests.authentication","2026-06-16","passed","2026-06-16","TestAuthentication","test_authentication","",""
"","23","Get exercises","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","14","Get user me","LMS service","2026-06-16","passed","2026-06-16","Get entity","Users","",""
"","20","Delete exercise","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","19","Create file with empty directory","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","544","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","15","Get file","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","269","Create file with empty filename","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","19","Update exercise","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","29","Get courses","tests.courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","269","Get file with incorrect file id","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","70","Create file","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","19","Get exercise by id","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","27","Create exercise","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","523","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","33","Create course","tests.courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","23","Delete file","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
